trimestre;ano;Exportações
1 trimestre;1996;12.306
2 trimestre;1996;14.576
3 trimestre;1996;15.560
4 trimestre;1996;15.085
1 trimestre;1997;13.162
2 trimestre;1997;17.402
3 trimestre;1997;18.529
4 trimestre;1997;17.398
1 trimestre;1998;16.099
2 trimestre;1998;18.805
3 trimestre;1998;18.786
4 trimestre;1998;16.781
1 trimestre;1999;22.153
2 trimestre;1999;24.728
3 trimestre;1999;27.646
4 trimestre;1999;29.511
1 trimestre;2000;26.402
2 trimestre;2000;30.239
3 trimestre;2000;33.768
4 trimestre;2000;31.756
1 trimestre;2001;33.576
2 trimestre;2001;40.837
3 trimestre;2001;45.701
4 trimestre;2001;42.667
1 trimestre;2002;34.812
2 trimestre;2002;38.896
3 trimestre;2002;65.894
4 trimestre;2002;72.262
1 trimestre;2003;63.031
2 trimestre;2003;62.162
3 trimestre;2003;66.754
4 trimestre;2003;68.852
1 trimestre;2004;66.313
2 trimestre;2004;82.950
3 trimestre;2004;90.341
4 trimestre;2004;84.321
1 trimestre;2005;77.093
2 trimestre;2005;82.694
3 trimestre;2005;88.087
4 trimestre;2005;83.006
1 trimestre;2006;76.051
2 trimestre;2006;79.742
3 trimestre;2006;98.608
4 trimestre;2006;91.941
1 trimestre;2007;85.074
2 trimestre;2007;89.585
3 trimestre;2007;95.807
4 trimestre;2007;92.083
1 trimestre;2008;80.459
2 trimestre;2008;98.393
3 trimestre;2008;115.435
4 trimestre;2008;126.594
1 trimestre;2009;87.415
2 trimestre;2009;93.900
3 trimestre;2009;92.906
4 trimestre;2009;87.460
1 trimestre;2010;86.801
2 trimestre;2010;105.294
3 trimestre;2010;114.225
4 trimestre;2010;115.900
1 trimestre;2011;103.744
2 trimestre;2011;124.993
3 trimestre;2011;137.086
4 trimestre;2011;141.072
1 trimestre;2012;119.043
2 trimestre;2012;146.496
3 trimestre;2012;153.303
4 trimestre;2012;153.034
1 trimestre;2013;125.321
2 trimestre;2013;156.293
3 trimestre;2013;169.810
4 trimestre;2013;174.627
1 trimestre;2014;144.492
2 trimestre;2014;162.059
3 trimestre;2014;171.655
4 trimestre;2014;158.169
1 trimestre;2015;153.346
2 trimestre;2015;189.848
3 trimestre;2015;212.638
4 trimestre;2015;217.635
1 trimestre;2016;195.363
2 trimestre;2016;208.109
3 trimestre;2016;192.894
4 trimestre;2016;185.211
1 trimestre;2017;192.345
2 trimestre;2017;216.289
3 trimestre;2017;210.483
4 trimestre;2017;205.316
1 trimestre;2018;212.281
2 trimestre;2018;248.761
3 trimestre;2018;288.212
4 trimestre;2018;275.802
1 trimestre;2019;230.603
2 trimestre;2019;263.438
3 trimestre;2019;278.699
4 trimestre;2019;270.821
1 trimestre;2020;260.664
2 trimestre;2020;323.032
3 trimestre;2020;335.336
4 trimestre;2020;335.160
1 trimestre;2021;359.641
2 trimestre;2021;483.585
3 trimestre;2021;461.229
4 trimestre;2021;439.887
